village_id,week,rainfall_mm,rainfall_anomaly_pct,temp_mean_c,humidity_pct,flood_risk_score,malaria_cases,diarrhea_cases,ari_cases,anc4_completion_pct,institutional_delivery_pct,full_immunization_pct,high_risk_pregnancies,drug_stockout_flag,is_reported,reporting_status,reconstructed_malaria_cases,uncertainty_malaria_cases,reconstructed_malaria_cases_lower95,reconstructed_malaria_cases_upper95,reconstructed_diarrhea_cases,uncertainty_diarrhea_cases,reconstructed_diarrhea_cases_lower95,reconstructed_diarrhea_cases_upper95,reconstructed_ari_cases,uncertainty_ari_cases,reconstructed_ari_cases_lower95,reconstructed_ari_cases_upper95,reconstructed_anc4_completion_pct,uncertainty_anc4_completion_pct,reconstructed_anc4_completion_pct_lower95,reconstructed_anc4_completion_pct_upper95,reconstructed_full_immunization_pct,uncertainty_full_immunization_pct,reconstructed_full_immunization_pct_lower95,reconstructed_full_immunization_pct_upper95
VIL_001,14,5.15,-61.8,26.6,47.8,0.025,,,,,,,6,1,False,UNRECORDED,4.090640780779832,6.531500394316763,0.0,10.622141175096594,1.442666997531891,4.607389726980678,0.0,6.050056724512569,2.002146619669524,2.8937755855208147,0.0,4.895922205190338,43.44485946872919,3.5217338334294572,39.92312563529973,46.96659330215865,48.33701880870104,3.822344947398187,44.51467386130285,52.159363756099225
VIL_001,15,4.19,-80.9,26.0,45.2,0.058,0.0,0.0,6.0,40.8,37.5,51.4,9,0,True,STRUCTURAL_ZERO_INFLATED,2.498640420534217,6.531500394316763,0.0,9.03014081485098,1.8726375764247318,4.607389726980678,0.0,6.48002730340541,2.224722397188764,2.8937755855208147,0.0,5.118497982709579,40.8,0.35217338334294573,40.44782661665705,41.15217338334294,51.4,0.38223449473981874,51.01776550526018,51.78223449473982
VIL_001,16,6.1,-57.8,27.5,50.2,0.04,0.0,0.0,5.0,47.6,43.5,55.5,4,0,True,STRUCTURAL_ZERO_INFLATED,4.393973051709293,6.531500394316763,0.0,10.925473446026055,1.4260546533690297,4.607389726980678,0.0,6.0334443803497075,2.9230824681517746,2.8937755855208147,0.02930688263095993,5.81685805367259,47.6,0.35217338334294573,47.24782661665706,47.952173383342945,55.5,0.38223449473981874,55.11776550526018,55.88223449473982
VIL_001,17,10.45,-29.8,30.3,45.3,0.153,,,,,,,5,0,False,UNRECORDED,2.8258784793774017,6.531500394316763,0.0,9.357378873694165,2.3060086765862735,4.607389726980678,0.0,6.913398403566951,2.6358014689470175,2.8937755855208147,0.0,5.529577054467833,45.759150492781686,3.5217338334294572,42.23741665935223,49.280884326211144,46.29037391579129,3.822344947398187,42.46802896839311,50.11271886318948
VIL_001,18,8.81,-52.7,31.3,47.7,0.115,,,,,,,3,0,False,UNRECORDED,3.55274550986232,6.531500394316763,0.0,10.084245904179083,1.7603631826962793,4.607389726980678,0.0,6.367752909676957,2.6865723458713417,2.8937755855208147,0.0,5.580347931392156,43.64776115473047,3.5217338334294572,40.12602732130101,47.169494988159926,48.546308361924176,3.822344947398187,44.72396341452599,52.36865330932236
VIL_001,19,8.75,-38.1,31.6,48.1,0.105,,,,,,,1,0,False,UNRECORDED,2.303905625923781,6.531500394316763,0.0,8.835406020240544,1.9854200240863138,4.607389726980678,0.0,6.592809751066992,2.6571126239158103,2.8937755855208147,0.0,5.550888209436625,44.39006848417695,3.5217338334294572,40.86833465074749,47.91180231760641,48.71485708736702,3.822344947398187,44.89251213996884,52.53720203476521
VIL_001,20,11.24,-19.4,32.8,50.2,0.105,,,,,,,2,0,False,UNRECORDED,2.849145496311469,6.531500394316763,0.0,9.380645890628232,2.7008705052620083,4.607389726980678,0.0,7.308260232242686,2.4903324044423183,2.8937755855208147,0.0,5.384107989963133,43.73737433356253,3.5217338334294572,40.21564050013307,47.259108166991986,48.37314763915069,3.822344947398187,44.5508026917525,52.19549258654887
VIL_001,21,28.62,101.6,35.2,58.8,0.353,,,,,,,2,1,False,UNRECORDED,2.4027686743605257,6.531500394316763,0.0,8.934269068677288,2.9822511422858757,4.607389726980678,0.0,7.589640869266553,2.506786872758405,2.8937755855208147,0.0,5.40056245827922,44.144385697494236,3.5217338334294572,40.62265186406478,47.666119530923694,48.45200856062172,3.822344947398187,44.629663613223535,52.27435350801991
VIL_001,22,21.64,54.8,33.8,47.0,0.326,,,,,,,5,1,False,UNRECORDED,2.3042318778723536,6.531500394316763,0.0,8.835732272189116,3.0372950292011294,4.607389726980678,0.0,7.644684756181807,2.414526366000243,2.8937755855208147,0.0,5.308301951521058,44.99872117056663,3.5217338334294572,41.476987337137174,48.52045500399609,48.42503649045855,3.822344947398187,44.60269154306037,52.24738143785674
VIL_001,23,31.15,93.9,35.9,49.1,0.44,,,,,,,4,0,False,UNRECORDED,1.8868373812726493,6.531500394316763,0.0,8.418337775589412,3.568999461160371,4.607389726980678,0.0,8.176389188141048,2.756267447807075,2.8937755855208147,0.0,5.65004303332789,44.16145798653169,3.5217338334294572,40.63972415310223,47.683191819961145,47.53603104829222,3.822344947398187,43.71368610089404,51.35837599569041
VIL_001,24,31.88,103.2,35.6,59.6,0.376,0.0,0.0,4.0,49.6,43.6,51.7,4,0,True,STRUCTURAL_ZERO_INFLATED,1.8793091581636308,6.531500394316763,0.0,8.410809552480394,4.237450957103093,4.607389726980678,0.0,8.84484068408377,2.673334101282255,2.8937755855208147,0.0,5.56710968680307,49.6,0.35217338334294573,49.24782661665706,49.952173383342945,51.7,0.38223449473981874,51.31776550526018,52.08223449473982
VIL_001,25,43.13,192.7,36.1,60.3,0.58,,,,,,,4,1,False,UNRECORDED,2.041006639035707,6.531500394316763,0.0,8.572507033352469,5.96399815829148,4.607389726980678,1.3566084313108018,10.571387885272157,2.052034299691929,2.8937755855208147,0.0,4.945809885212744,43.797420248720265,3.5217338334294572,40.27568641529081,47.31915408214972,48.15813919983162,3.822344947398187,44.33579425243344,51.98048414722981
VIL_001,26,60.1,305.8,38.0,63.3,0.839,,,,,,,5,1,False,UNRECORDED,2.680350667359705,6.531500394316763,0.0,9.211851061676468,5.420526480494282,4.607389726980678,0.8131367535136045,10.02791620747496,2.2876380807820236,2.8937755855208147,0.0,5.181413666302838,44.604243818598185,3.5217338334294572,41.08250998516873,48.12597765202764,48.215057530012174,3.822344947398187,44.39271258261399,52.03740247741036
VIL_001,27,56.12,279.3,37.9,69.3,0.665,4.0,12.0,5.0,43.9,42.5,50.7,6,0,True,REPORTED,4.0,0.6531500394316763,3.3468499605683237,4.653150039431676,12.0,0.4607389726980678,11.539261027301933,12.460738972698067,5.0,0.28937755855208147,4.710622441447919,5.289377558552081,43.9,0.35217338334294573,43.547826616657055,44.25217338334294,50.7,0.38223449473981874,50.31776550526018,51.08223449473982
VIL_001,28,82.28,487.1,38.0,75.4,1.0,2.0,11.0,4.0,45.7,40.2,43.3,2,0,True,REPORTED,2.0,0.6531500394316763,1.3468499605683237,2.6531500394316763,11.0,0.4607389726980678,10.539261027301933,11.460738972698067,4.0,0.28937755855208147,3.7106224414479185,4.289377558552081,45.7,0.35217338334294573,45.34782661665706,46.05217338334295,43.3,0.38223449473981874,42.91776550526018,43.68223449473982
VIL_001,29,77.95,425.4,38.5,76.3,1.0,,,,,,,2,1,False,UNRECORDED,2.8785990480884385,6.531500394316763,0.0,9.410099442405201,9.006407697354847,4.607389726980678,4.399017970374169,13.613797424335525,2.0280621536654926,2.8937755855208147,0.0,4.921837739186307,43.931117732751986,3.5217338334294572,40.40938389932253,47.452851566181444,47.344691157623664,3.822344947398187,43.52234621022548,51.16703610502185
VIL_001,30,85.99,484.6,36.7,74.7,1.0,,,,,,,3,0,False,UNRECORDED,3.9183050695714856,6.531500394316763,0.0,10.449805463888248,11.540542467646645,4.607389726980678,6.933152740665967,16.147932194627323,1.690973163626015,2.8937755855208147,0.0,4.584748749146829,42.98176968808212,3.5217338334294572,39.46003585465266,46.503503521511576,48.22080559810523,3.822344947398187,44.398460650707044,52.043150545503416
VIL_001,31,82.07,456.6,37.2,79.6,1.0,,,,,,,4,0,False,UNRECORDED,4.7240443660135485,6.531500394316763,0.0,11.255544760330311,9.326405540648784,4.607389726980678,4.719015813668106,13.933795267629462,2.0220455021359536,2.8937755855208147,0.0,4.915821087656768,42.619503962792194,3.5217338334294572,39.097770129362736,46.14123779622165,46.65856118075172,3.822344947398187,42.83621623335353,50.480906128149904
VIL_001,32,116.46,682.9,35.5,94.6,1.0,0.0,0.0,4.0,49.2,49.2,46.3,4,1,True,STRUCTURAL_ZERO_INFLATED,5.162107061014877,6.531500394316763,0.0,11.693607455331641,10.64584619642496,4.607389726980678,6.038456469444283,15.253235923405638,1.962048723399308,2.8937755855208147,0.0,4.8558243089201225,49.2,0.35217338334294573,48.84782661665706,49.55217338334295,46.3,0.38223449473981874,45.91776550526018,46.68223449473982
VIL_001,33,84.07,457.3,35.6,69.4,1.0,0.0,0.0,2.0,44.4,43.0,52.4,4,0,True,STRUCTURAL_ZERO_INFLATED,8.059775066745289,6.531500394316763,1.5282746724285259,14.59127546106205,9.44141995734456,4.607389726980678,4.834030230363883,14.048809684325239,2.400292676888308,2.8937755855208147,0.0,5.294068262409123,44.4,0.35217338334294573,44.047826616657055,44.75217338334294,52.4,0.38223449473981874,52.01776550526018,52.78223449473982
VIL_001,34,64.35,336.6,34.3,63.6,0.86,19.0,21.0,3.0,46.9,41.3,55.9,5,1,True,REPORTED,19.0,0.6531500394316763,18.346849960568324,19.653150039431676,21.0,0.4607389726980678,20.539261027301933,21.460738972698067,3.0,0.28937755855208147,2.7106224414479185,3.2893775585520815,46.9,0.35217338334294573,46.547826616657055,47.25217338334294,55.9,0.38223449473981874,55.51776550526018,56.28223449473982
VIL_001,35,75.04,392.5,33.7,66.9,1.0,,,,,,,7,0,False,UNRECORDED,9.608184417053229,6.531500394316763,3.0766840227364662,16.139684811369992,6.90340306226283,4.607389726980678,2.2960133352821526,11.510792789243508,2.662411788997593,2.8937755855208147,0.0,5.556187374518408,44.05454089968409,3.5217338334294572,40.532807066254634,47.57627473311355,48.241187377949096,3.822344947398187,44.41884243055091,52.06353232534728
VIL_001,36,47.99,217.5,33.4,55.6,0.595,,,,,,,2,1,False,UNRECORDED,11.965966579722538,6.531500394316763,5.434466185405776,18.497466974039302,6.451895932003848,4.607389726980678,1.84450620502317,11.059285658984525,2.093746427884695,2.8937755855208147,0.0,4.98752201340551,44.04316733585421,3.5217338334294572,40.52143350242475,47.564901169283665,48.39002073894311,3.822344947398187,44.56767579154492,52.21236568634129
VIL_001,37,50.09,229.1,30.7,46.8,0.7,,,,,,,2,0,False,UNRECORDED,13.49699473786622,6.531500394316763,6.965494343549458,20.028495132182982,6.034294072208899,4.607389726980678,1.4269043452282215,10.641683799189577,2.105218128416463,2.8937755855208147,0.0,4.998993713937278,44.19473564093063,3.5217338334294572,40.67300180750117,47.71646947436009,48.30485213012423,3.822344947398187,44.482507182726046,52.12719707752242
VIL_001,38,26.09,74.7,33.1,41.1,0.265,,,,,,,1,0,False,UNRECORDED,14.94990849788243,6.531500394316763,8.418408103565667,21.48140889219919,3.9433956761773885,4.607389726980678,0.0,8.550785403158066,2.4407385228149305,2.8937755855208147,0.0,5.334514108335745,41.88581542220033,3.5217338334294572,38.36408158877087,45.40754925562979,46.87307501234207,3.822344947398187,43.050730064943885,50.695419959740256
VIL_001,39,24.36,85.6,28.2,41.5,0.322,30.0,2.0,5.0,39.7,32.2,57.8,4,0,True,REPORTED,30.0,0.6531500394316763,29.346849960568324,30.653150039431676,2.0,0.4607389726980678,1.5392610273019323,2.460738972698068,5.0,0.28937755855208147,4.710622441447919,5.289377558552081,39.7,0.35217338334294573,39.34782661665706,40.05217338334295,57.8,0.38223449473981874,57.41776550526018,58.18223449473982
VIL_001,40,22.98,34.5,26.7,29.5,0.246,0.0,0.0,7.0,46.4,42.0,44.8,3,1,True,STRUCTURAL_ZERO_INFLATED,13.173159819356083,6.531500394316763,6.641659425039321,19.704660213672845,3.3149685514156007,4.607389726980678,0.0,7.9223582783962785,2.554090927377967,2.8937755855208147,0.0,5.4478665128987815,46.4,0.35217338334294573,46.047826616657055,46.75217338334294,44.8,0.38223449473981874,44.41776550526018,45.18223449473982
VIL_001,41,20.4,42.9,28.4,30.5,0.239,0.0,0.0,3.0,47.6,40.5,46.7,0,1,True,STRUCTURAL_ZERO_INFLATED,9.59624687506357,6.531500394316763,3.064746480746808,16.127747269380333,2.1816428160773094,4.607389726980678,0.0,6.789032543057987,2.0354750111398543,2.8937755855208147,0.0,4.929250596660669,47.6,0.35217338334294573,47.24782661665706,47.952173383342945,46.7,0.38223449473981874,46.31776550526018,47.08223449473982
VIL_001,42,13.26,-27.7,26.7,23.8,0.179,9.0,8.0,3.0,49.6,38.8,45.4,4,1,True,REPORTED,9.0,0.6531500394316763,8.346849960568324,9.653150039431676,8.0,0.4607389726980678,7.539261027301932,8.460738972698067,3.0,0.28937755855208147,2.7106224414479185,3.2893775585520815,49.6,0.35217338334294573,49.24782661665706,49.952173383342945,45.4,0.38223449473981874,45.01776550526018,45.78223449473982
VIL_001,43,11.95,-25.1,25.4,30.5,0.116,,,,,,,5,1,False,UNRECORDED,3.7116403991786284,6.531500394316763,0.0,10.24314079349539,2.165707148279763,4.607389726980678,0.0,6.773096875260441,2.114354964523383,2.8937755855208147,0.0,5.008130550044198,43.327195682922444,3.5217338334294572,39.805461849492985,46.8489295163519,46.489436274692515,3.822344947398187,42.66709132729433,50.3117812220907
VIL_001,44,8.52,-32.3,24.2,33.3,0.094,9.0,3.0,1.0,40.4,38.3,46.4,3,0,True,REPORTED,9.0,0.6531500394316763,8.346849960568324,9.653150039431676,3.0,0.4607389726980678,2.539261027301932,3.460738972698068,1.0,0.28937755855208147,0.7106224414479185,1.2893775585520815,40.4,0.35217338334294573,40.047826616657055,40.75217338334294,46.4,0.38223449473981874,46.01776550526018,46.78223449473982
VIL_001,45,10.72,-27.9,22.3,38.1,0.193,,,,,,,4,1,False,UNRECORDED,3.7608067057887484,6.531500394316763,0.0,10.29230710010551,2.3324305958996883,4.607389726980678,0.0,6.939820322880366,2.278566576128026,2.8937755855208147,0.0,5.1723421616488405,44.220172244427076,3.5217338334294572,40.69843841099762,47.741906077856534,49.285243249474945,3.822344947398187,45.46289830207676,53.10758819687313
VIL_001,46,5.6,-73.5,20.2,30.6,0.046,,,,,,,3,0,False,UNRECORDED,2.0708040571920256,6.531500394316763,0.0,8.602304451508788,2.156175153586636,4.607389726980678,0.0,6.763564880567314,3.4889937955723114,2.8937755855208147,0.5952182100514967,6.3827693810931265,43.70334011644586,3.5217338334294572,40.1816062830164,47.225073949875316,46.1037558211481,3.822344947398187,42.28141087374991,49.926100768546284
VIL_001,47,5.96,-67.4,20.5,37.9,0.121,0.0,0.0,9.0,45.9,38.0,55.1,2,0,True,REPORTED,1.9581516671949877,6.531500394316763,0.0,8.48965206151175,2.0206028721374607,4.607389726980678,0.0,6.627992599118139,4.18318720025088,2.8937755855208147,1.2894116147300654,7.076962785771695,45.9,0.35217338334294573,45.547826616657055,46.25217338334294,55.1,0.38223449473981874,54.71776550526018,55.48223449473982
VIL_001,48,6.34,-51.0,18.7,27.0,0.028,,,,,,,2,0,False,UNRECORDED,1.6553645887377617,6.531500394316763,0.0,8.186864983054525,1.6790090705229328,4.607389726980678,0.0,6.286398797503611,3.7302003232431997,2.8937755855208147,0.836424737722385,6.623975908764015,43.89763099768355,3.5217338334294572,40.37589716425409,47.41936483111301,49.15062395716425,3.822344947398187,45.328279009766064,52.972968904562435
VIL_001,49,10.57,-36.9,19.9,28.8,0.167,,,,,,,4,0,False,UNRECORDED,1.490262141578142,6.531500394316763,0.0,8.021762535894904,1.6880712299069598,4.607389726980678,0.0,6.295460956887638,5.284489825750796,2.8937755855208147,2.3907142402299817,8.17826541127161,45.02695273428924,3.5217338334294572,41.50521890085978,48.5486865677187,48.576469394365624,3.822344947398187,44.75412444696744,52.39881434176381
VIL_001,50,7.92,-45.0,18.0,35.2,0.178,0.0,0.0,7.0,42.2,40.7,51.3,4,0,True,STRUCTURAL_ZERO_INFLATED,2.164956758656811,6.531500394316763,0.0,8.696457152973574,1.9716908242376974,4.607389726980678,0.0,6.579080551218375,5.027738960386624,2.8937755855208147,2.133963374865809,7.9215145459074385,42.2,0.35217338334294573,41.84782661665706,42.55217338334295,51.3,0.38223449473981874,50.91776550526018,51.68223449473982
VIL_001,51,5.87,-60.4,16.7,37.1,0.0,,,,,,,2,0,False,UNRECORDED,1.9117980291497965,6.531500394316763,0.0,8.443298423466558,1.6649421174096557,4.607389726980678,0.0,6.272331844390333,4.638428293747842,2.8937755855208147,1.7446527082270276,7.532203879268657,44.30341815023703,3.5217338334294572,40.78168431680757,47.82515198366649,48.131919792070114,3.822344947398187,44.30957484467193,51.9542647394683
VIL_001,52,6.88,-60.6,16.9,37.1,0.052,0.0,0.0,11.0,49.7,46.0,45.7,2,0,True,STRUCTURAL_ZERO_INFLATED,1.3818889896027458,6.531500394316763,0.0,7.913389383919508,2.915638668277005,4.607389726980678,0.0,7.523028395257683,6.445926037353669,2.8937755855208147,3.552150451832854,9.339701622874482,49.7,0.35217338334294573,49.34782661665706,50.05217338334295,45.7,0.38223449473981874,45.31776550526018,46.08223449473982
VIL_001,53,7.9,-25.9,17.6,30.7,0.134,0.0,0.0,11.0,51.2,39.7,49.1,3,0,True,STRUCTURAL_ZERO_INFLATED,1.6392099824828406,6.531500394316763,0.0,8.170710376799603,1.5597646047802183,4.607389726980678,0.0,6.167154331760896,5.9521872118954136,2.8937755855208147,3.058411626374599,8.845962797416227,51.2,0.35217338334294573,50.84782661665706,51.55217338334295,49.1,0.38223449473981874,48.71776550526018,49.48223449473982
VIL_001,54,7.08,-46.5,16.3,39.4,0.084,,,,,,,3,0,False,UNRECORDED,0.9048286161591859,6.531500394316763,0.0,7.436329010475949,2.101430619973576,4.607389726980678,0.0,6.708820346954254,5.493910430522811,2.8937755855208147,2.600134845001996,8.387686016043626,42.33306409131082,3.5217338334294572,38.81133025788136,45.854797924740275,47.41780235847058,3.822344947398187,43.595457411072395,51.24014730586877
VIL_001,55,7.28,-71.7,16.1,35.8,0.116,0.0,0.0,13.0,47.1,43.1,54.0,2,0,True,STRUCTURAL_ZERO_INFLATED,1.4941660798748937,6.531500394316763,0.0,8.025666474191656,2.040887121153907,4.607389726980678,0.0,6.648276848134585,4.896399880490572,2.8937755855208147,2.002624294969757,7.790175466011386,47.1,0.35217338334294573,46.74782661665706,47.452173383342945,54.0,0.38223449473981874,53.61776550526018,54.38223449473982
VIL_001,56,6.25,-56.4,17.6,44.4,0.053,5.0,4.0,6.0,46.3,40.8,42.0,4,0,True,REPORTED,5.0,0.6531500394316763,4.346849960568324,5.653150039431676,4.0,0.4607389726980678,3.539261027301932,4.460738972698068,6.0,0.28937755855208147,5.710622441447919,6.289377558552081,46.3,0.35217338334294573,45.94782661665705,46.65217338334294,42.0,0.38223449473981874,41.61776550526018,42.38223449473982
VIL_001,57,4.57,-76.2,17.9,43.4,0.065,2.0,1.0,6.0,47.8,43.8,54.2,5,0,True,REPORTED,2.0,0.6531500394316763,1.3468499605683237,2.6531500394316763,1.0,0.4607389726980678,0.5392610273019323,1.4607389726980677,6.0,0.28937755855208147,5.710622441447919,6.289377558552081,47.8,0.35217338334294573,47.44782661665705,48.15217338334294,54.2,0.38223449473981874,53.81776550526018,54.58223449473982
VIL_001,58,9.32,-29.3,17.5,41.6,0.116,0.0,0.0,9.0,48.8,37.3,47.8,1,1,True,STRUCTURAL_ZERO_INFLATED,1.3745900958086879,6.531500394316763,0.0,7.90609049012545,2.631238606233099,4.607389726980678,0.0,7.238628333213777,3.952075219055601,2.8937755855208147,1.0582996335347863,6.845850804576416,48.8,0.35217338334294573,48.44782661665705,49.15217338334294,47.8,0.38223449473981874,47.41776550526018,48.18223449473982
VIL_001,59,9.87,-42.1,18.2,44.5,0.19,,,,,,,4,0,False,UNRECORDED,1.708142141327492,6.531500394316763,0.0,8.239642535644254,1.8662455147813994,4.607389726980678,0.0,6.473635241762077,4.074772842974103,2.8937755855208147,1.1809972574532885,6.968548428494918,42.61019323141539,3.5217338334294572,39.08845939798593,46.131927064844845,47.912544139938035,3.822344947398187,44.09019919253985,51.73488908733622
VIL_001,60,7.75,-49.5,19.8,42.1,0.116,0.0,0.0,10.0,51.3,46.6,47.6,1,0,True,STRUCTURAL_ZERO_INFLATED,1.5639878594504513,6.531500394316763,0.0,8.095488253767215,2.837663176368423,4.607389726980678,0.0,7.445052903349101,4.648283967483254,2.8937755855208147,1.754508381962439,7.542059553004068,51.3,0.35217338334294573,50.94782661665705,51.65217338334294,47.6,0.38223449473981874,47.21776550526018,47.98223449473982
VIL_001,61,5.5,-58.3,18.6,45.7,0.09,,,,,,,4,0,False,UNRECORDED,2.015542525641387,6.531500394316763,0.0,8.54704291995815,2.595086430563337,4.607389726980678,0.0,7.202476157544015,4.812347792123315,2.8937755855208147,1.9185722066025006,7.70612337764413,44.44432856377853,3.5217338334294572,40.92259473034907,47.966062397207985,49.21054327786549,3.822344947398187,45.388198330467304,53.032888225263676
