village_id,village_name,block_name,subcentre_id,parent_phc_id,latitude,longitude,population,sc_st_pct,female_literacy_pct,tap_water_access_pct,sanitation_access_pct,distance_phc_km,distance_chc_km,all_weather_road,electricity_hours_per_day,mo_sanctioned,mo_in_position,anm_present,asha_workers_count,cold_chain_functional
VIL_018,Baghaha,Block-B,HSC_2_02,PHC_02,24.33588,82.25649,3141,9.4,65.6,32.8,77.4,4.3,15.3,0,13.4,1,1,1,3,1
VIL_019,Sikanderpur,Block-B,HSC_2_02,PHC_02,24.29304,82.14942,3488,56.9,45.9,14.1,52.5,14.6,30.8,1,14.7,1,0,1,3,0
VIL_020,Majhaulia,Block-B,HSC_2_02,PHC_02,24.36847,82.2325,1893,23.7,59.3,55.9,43.2,4.2,17.2,1,13.8,1,1,1,2,1
VIL_021,Parsa,Block-C,HSC_3_01,PHC_03,24.30129,82.57588,4380,48.3,54.1,24.3,65.4,13.2,24.3,1,14.8,1,0,0,4,1
VIL_022,Bhagwanpur,Block-C,HSC_3_01,PHC_03,24.21199,82.69653,4563,14.7,46.0,26.4,49.3,10.4,34.0,0,8.9,1,1,1,5,0
VIL_023,Dharampur,Block-C,HSC_3_01,PHC_03,24.18978,82.69589,4624,37.0,45.7,58.2,62.9,12.4,30.9,1,17.3,1,1,1,5,0
VIL_024,Sonpur,Block-C,HSC_3_01,PHC_03,24.26118,82.63225,4782,33.6,63.2,22.0,44.2,5.3,34.7,1,17.2,1,1,1,5,1
VIL_025,Chainpur,Block-C,HSC_3_01,PHC_03,24.21241,82.62116,3152,33.4,57.2,17.8,20.0,4.1,38.1,0,18.5,1,0,1,3,1
VIL_026,Khairpur,Block-C,HSC_3_02,PHC_03,24.32173,82.64607,1603,55.5,44.1,46.4,61.9,13.4,47.7,0,12.0,1,0,1,2,1
VIL_027,Madhubani,Block-C,HSC_3_02,PHC_03,24.17807,82.57679,1805,50.6,42.5,10.0,52.4,13.2,46.9,0,9.9,1,0,1,2,0
VIL_028,Barh,Block-C,HSC_3_02,PHC_03,24.26928,82.69084,2608,8.0,60.2,69.6,56.3,11.4,40.5,0,15.6,1,0,1,3,0
VIL_029,Chakia,Block-C,HSC_3_02,PHC_03,24.24496,82.63359,1906,22.2,42.4,67.9,46.8,2.3,26.1,0,13.4,1,1,1,2,1
VIL_030,Tekari,Block-C,HSC_3_02,PHC_03,24.21197,82.57899,3158,24.2,43.2,50.9,36.9,8.6,27.6,1,21.3,2,0,1,3,1
VIL_031,Matihani,Block-D,HSC_4_01,PHC_04,24.21651,82.48179,4575,35.6,68.8,45.9,50.2,10.6,24.3,1,20.6,2,1,1,5,0
VIL_032,Nabinagar,Block-D,HSC_4_01,PHC_04,24.17834,82.44653,2473,23.1,54.0,34.3,78.4,7.9,24.2,1,13.6,1,0,0,2,1
VIL_033,Kanti,Block-D,HSC_4_01,PHC_04,24.18588,82.55424,4631,18.5,62.2,61.1,29.9,9.2,29.7,0,9.3,2,1,1,5,0
VIL_034,Dumraon,Block-D,HSC_4_01,PHC_04,24.08776,82.48109,787,50.7,53.8,56.3,53.5,12.8,44.4,0,7.3,2,0,1,1,0
VIL_035,Bakhri,Block-D,HSC_4_01,PHC_04,24.11715,82.52734,4095,19.3,60.7,28.5,84.8,7.8,21.0,1,14.2,2,1,1,4,0
VIL_036,Raghunathpur,Block-D,HSC_4_02,PHC_04,24.21228,82.44935,1173,13.8,47.4,20.4,89.4,8.5,32.3,1,14.1,1,0,1,1,1
VIL_037,Alinagar,Block-D,HSC_4_02,PHC_04,24.16484,82.49172,3416,43.2,54.8,55.8,45.5,5.3,34.0,1,21.1,1,1,1,3,1
VIL_038,Manjhi,Block-D,HSC_4_02,PHC_04,24.17943,82.51943,2556,41.1,44.3,25.7,55.0,3.5,35.2,1,13.8,1,1,1,3,1
VIL_039,Gorakhpur-Dehat,Block-D,HSC_4_02,PHC_04,24.17806,82.53698,2808,53.9,60.7,79.5,80.3,7.9,37.6,1,6.0,1,0,1,3,0
VIL_040,Belhar,Block-D,HSC_4_02,PHC_04,24.21203,82.50011,2974,9.1,48.5,30.7,51.9,7.1,40.4,1,12.3,1,1,0,3,1
VIL_041,Bhabua-Khurd,Block-E,HSC_5_01,PHC_05,23.8479,82.58142,653,57.1,53.1,52.2,71.3,16.5,29.3,1,7.0,2,1,0,1,0
VIL_042,Karakat,Block-E,HSC_5_01,PHC_05,24.05268,82.51765,2223,40.9,40.3,46.8,95.0,16.2,39.5,0,7.6,1,0,1,2,0
VIL_043,Daudnagar,Block-E,HSC_5_01,PHC_05,23.98826,82.53096,2644,65.5,46.7,38.2,60.6,7.2,34.2,0,15.8,1,0,0,3,1
VIL_044,Bikramganj,Block-E,HSC_5_01,PHC_05,23.97376,82.58076,4500,29.4,46.9,52.6,52.9,8.0,19.2,0,12.7,2,1,1,4,1
VIL_045,Piro,Block-E,HSC_5_01,PHC_05,23.9372,82.59194,4412,41.9,80.5,78.0,32.7,8.6,29.6,1,9.2,1,1,1,4,0
VIL_046,Jagdishpur,Block-E,HSC_5_02,PHC_05,23.88347,82.46247,2685,52.1,59.8,70.5,73.5,14.8,43.0,0,16.9,1,1,1,3,1
VIL_047,Dumra,Block-E,HSC_5_02,PHC_05,23.93176,82.56446,3878,17.7,82.0,67.5,50.4,5.3,24.8,1,14.1,1,1,1,4,0
VIL_048,Runnisaidpur,Block-E,HSC_5_02,PHC_05,23.94261,82.54956,1012,36.6,57.4,21.7,95.0,2.7,23.3,1,14.5,1,0,0,1,1
VIL_049,Bairgania,Block-E,HSC_5_02,PHC_05,23.96725,82.56299,4099,23.2,48.1,49.5,51.8,6.2,20.0,1,9.1,1,1,1,4,0
VIL_050,Sursand,Block-E,HSC_5_02,PHC_05,23.90404,82.52218,1186,41.3,35.3,10.0,60.6,10.2,35.3,1,17.1,1,0,1,1,1
